,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(control),2.0430983619,0.0799630726514,1.88455533116,1.99096437546,2.04295405829,2.09600760063,2.20203796444,0.0027871408902
a(empathy),1.97291001021,0.0833676197943,1.81647919184,1.91806468669,1.97430601391,2.02810188164,2.14194015448,0.00304080891828
a(emprecip),2.06740584272,0.0821987877155,1.91047059813,2.01429775508,2.0685479219,2.12086871466,2.23364250773,0.00278749507372
a(reciprocity),1.95713787439,0.0813677690551,1.79661961871,1.90303367897,1.95480301055,2.01147644721,2.11937520419,0.00284880153483
a_std,0.402163687123,0.0352827514464,0.339010477174,0.377882236375,0.400551808382,0.425609034702,0.472413512671,0.00132118440894
a_subj(control).0,1.66512792161,0.131732821629,1.41325552655,1.57572533484,1.66000034229,1.75410629085,1.932191886,0.00440482991414
a_subj(control).1,1.57173574907,0.132314656118,1.32291454351,1.48094655333,1.5651563844,1.65753464725,1.84881966496,0.00344217472078
a_subj(control).2,1.81875440488,0.130955498837,1.57801105297,1.72941062203,1.81376307027,1.90286265399,2.0883836267,0.00307730333944
a_subj(control).3,2.03153842019,0.151237459207,1.74829363464,1.9318257074,2.02725992509,2.12849546827,2.35567789914,0.00405439073677
a_subj(control).4,2.49729129393,0.282316464901,2.00745898847,2.29760823813,2.46947446822,2.67098531422,3.11722867667,0.00636703520626
a_subj(control).5,2.26364060584,0.206611824943,1.89345272585,2.11728179962,2.2493376736,2.39687540354,2.70530150441,0.00572424475199
a_subj(control).6,1.68064045758,0.128714862806,1.43457092235,1.59063727472,1.67753517675,1.76692546191,1.94556744662,0.00354172911558
a_subj(control).7,1.532636592,0.123179651099,1.30457101091,1.44724851056,1.52759736647,1.61216261389,1.78629655139,0.00348766747308
a_subj(control).8,1.76134312614,0.146920059906,1.50290515235,1.65733230953,1.75211180469,1.85636465214,2.07114469842,0.00409176985707
a_subj(control).9,2.21724038234,0.188743711638,1.87652845431,2.08432648631,2.20633449166,2.33458372414,2.62923339948,0.00421913331058
a_subj(control).10,2.10032101415,0.19340698925,1.75303431781,1.96201407201,2.09028992554,2.22448131322,2.50203343616,0.00434811637923
a_subj(control).11,1.71240471911,0.148009545792,1.44365107259,1.61007373355,1.7058483712,1.80721776992,2.02175239087,0.0045540787195
a_subj(control).12,2.30504231018,0.172598733508,1.98681691741,2.18402237143,2.29883315306,2.41472779752,2.6670452573,0.00447427340828
a_subj(control).13,2.83119315832,0.33423372332,2.28305096773,2.58477944614,2.7964238076,3.02374579519,3.59573840298,0.011428857526
a_subj(control).14,2.57494327871,0.259373606619,2.12462030848,2.39643591266,2.55940052203,2.72514310211,3.16824902918,0.00717517443248
a_subj(control).15,1.97183518136,0.179965053269,1.64434011521,1.84517240596,1.96106475108,2.0860748762,2.35206364254,0.00555840660704
a_subj(control).16,2.06346412627,0.171543445383,1.76139900746,1.94123715901,2.05067811921,2.1675476654,2.43073181875,0.00394243196045
a_subj(control).17,1.26545737132,0.114576597155,1.05125267999,1.18453290728,1.26249817636,1.34125172917,1.50387536616,0.00389885941072
a_subj(control).18,2.56375396872,0.226335046902,2.16331671774,2.40521327404,2.55155368085,2.71561925114,3.03664754563,0.00531396278291
a_subj(control).19,2.38824444975,0.175333646016,2.06227198216,2.26407457499,2.38683146805,2.50301368314,2.7459889765,0.00425863913726
a_subj(control).20,2.44454083508,0.182397576719,2.12710901946,2.31498898004,2.43555424203,2.56141226089,2.82340031964,0.00453000272253
a_subj(control).21,1.91088155146,0.177165568524,1.59189446735,1.7875878291,1.90010956646,2.02082667981,2.28540788786,0.00448174368957
a_subj(control).22,1.99691074389,0.167901553127,1.67228705482,1.88403150869,1.99414571089,2.10635860538,2.33148532627,0.0065940620939
a_subj(control).23,1.98372572927,0.251881197729,1.53778410516,1.80789177533,1.96781952463,2.13820708358,2.54612919902,0.00692499460198
a_subj(control).24,2.30510575967,0.162249563657,2.01462167996,2.19180143614,2.29360253451,2.41120179266,2.6457691054,0.00469587908422
a_subj(control).25,1.93837933608,0.138979254134,1.68150816484,1.84543311421,1.93240935814,2.02827064804,2.2401898393,0.00344885782667
a_subj(control).26,1.63800442782,0.133949965703,1.38889068087,1.54508152051,1.63478192241,1.72263492885,1.92093300061,0.00382636582107
a_subj(control).27,1.72409924904,0.161727400794,1.43624821616,1.61241447948,1.71582132773,1.82819534666,2.06753829172,0.00423818807509
a_subj(control).28,2.23761823774,0.203101449811,1.8709920289,2.09769155709,2.22755371502,2.36989001619,2.66602600906,0.00550044629759
a_subj(control).29,1.6608831408,0.297446783184,1.14322598803,1.45144177665,1.63673627663,1.8626887252,2.29477513416,0.00891100467411
a_subj(control).30,2.31145763323,0.202213766046,1.9435723354,2.1705144995,2.29891778339,2.43853892832,2.74911680771,0.00555500529691
a_subj(control).31,2.27558656503,0.177275454641,1.95203203498,2.15060863855,2.26541148266,2.38983968967,2.64991455492,0.0044735913981
a_subj(control).32,2.39354947668,0.183548454095,2.07924504628,2.26337590512,2.38413323033,2.50393198069,2.79390273542,0.00481118913127
a_subj(empathy).0,1.41039989358,0.301389284796,0.879224773066,1.19751510678,1.39037508232,1.60079060517,2.06806403225,0.00877270873929
a_subj(empathy).1,2.1404794425,0.164579198115,1.84532190277,2.02800062216,2.13156527509,2.23968106142,2.49944696625,0.0043253281414
a_subj(empathy).2,1.62591266658,0.125560390566,1.3962835759,1.54204283282,1.62044774155,1.70649975175,1.8886212558,0.00354480523324
a_subj(empathy).3,1.84962748658,0.1381047186,1.59096325055,1.75538811191,1.84580153895,1.94160495863,2.13541203091,0.00397098307529
a_subj(empathy).4,2.01283035615,0.265559643927,1.56249323587,1.82652342116,1.99184320254,2.16649312958,2.59993747727,0.00684962446519
a_subj(empathy).5,1.79250819857,0.185213774777,1.46323834185,1.66070709102,1.78130140053,1.9091260438,2.19475098834,0.00536136019566
a_subj(empathy).6,1.85453404363,0.164629422632,1.56684669397,1.74318515051,1.84047436516,1.95669305091,2.21682790007,0.00452743417867
a_subj(empathy).7,1.94204698379,0.148627088909,1.67518719518,1.83910370618,1.93292222683,2.04023754417,2.25738326119,0.00419675014873
a_subj(empathy).8,1.46939698332,0.116657036661,1.25500014878,1.38692990308,1.46457496543,1.54564385406,1.70747226218,0.00311323988537
a_subj(empathy).9,2.49474398981,0.219002406753,2.10945358002,2.34196028268,2.47594271806,2.63451198116,2.98187314797,0.0056833087286
a_subj(empathy).10,2.4279907378,0.206936636326,2.06305590253,2.28148695975,2.41382040912,2.56082816061,2.86141899197,0.00502354502785
a_subj(empathy).11,1.47199826302,0.127821030461,1.23949797036,1.38524149284,1.46584511367,1.55286865681,1.74668128461,0.00365727727424
a_subj(empathy).12,2.21384877162,0.171878871097,1.91107320698,2.08819818523,2.20427262503,2.32407060188,2.58646838217,0.00447027631111
a_subj(empathy).13,2.03532328606,0.3063879834,1.52709695981,1.81501614841,2.00438856526,2.22811026712,2.68404271872,0.00815313544511
a_subj(empathy).14,2.07009177623,0.281597568158,1.59262797121,1.86550959866,2.04456561693,2.25258169364,2.68358881835,0.00772551064726
a_subj(empathy).15,1.53274501067,0.150007401787,1.26913020334,1.42672427076,1.52060170109,1.63307684451,1.84884054255,0.00377491775731
a_subj(empathy).16,2.35730497461,0.195256090325,2.00208309643,2.2205954842,2.34701948737,2.48221597007,2.76163999065,0.00552818615268
a_subj(empathy).17,1.46544855748,0.130631117993,1.21469876723,1.3748553758,1.45851499953,1.55374134587,1.73389610755,0.00411209921754
a_subj(empathy).18,2.47346383616,0.194431155018,2.11035323582,2.34117633034,2.46167592534,2.59800044972,2.86797054569,0.00470024186809
a_subj(empathy).19,1.91333328886,0.155589402647,1.63113638718,1.80431661167,1.90742109287,2.01140834672,2.24554285411,0.00405465414276
a_subj(empathy).20,2.1994505508,0.163979549847,1.90724143811,2.08352388439,2.18791407132,2.30519138372,2.54174874348,0.00398245726397
a_subj(empathy).21,1.75205444078,0.171447076181,1.44222491631,1.63293743428,1.7408712779,1.86365207056,2.11914040529,0.00385356314059
a_subj(empathy).22,2.7667170602,0.332692870617,2.19274309708,2.53861070138,2.73300032162,2.97293291305,3.48912353391,0.011573047547
a_subj(empathy).23,1.59961983747,0.175204506738,1.29424117072,1.47306369275,1.5911378897,1.71117516462,1.96464304722,0.0051194833559
a_subj(empathy).24,2.35972588664,0.221663288513,1.97668363598,2.20356092282,2.34444096663,2.49816138216,2.83262633451,0.00509169487535
a_subj(empathy).25,2.25627015256,0.202266810565,1.89302923746,2.11763082051,2.25095332253,2.38153401965,2.68756933342,0.00504227180336
a_subj(empathy).26,2.19128888316,0.201262452494,1.82922878625,2.0503953871,2.17949322699,2.31993507113,2.60661385995,0.00541631136268
a_subj(empathy).27,2.03654340488,0.203639784252,1.68103823264,1.89173631429,2.02644880671,2.16075480667,2.48107043536,0.00594544529303
a_subj(empathy).28,2.27849856162,0.230352799306,1.86875195866,2.1132080607,2.26956938264,2.42339269171,2.78426827858,0.00636808892212
a_subj(empathy).29,1.5859646821,0.162181503901,1.29784331293,1.47138886395,1.57470260908,1.69116587599,1.93493214935,0.00435783796267
a_subj(empathy).30,1.85118866184,0.253788280389,1.39506481664,1.66951059221,1.83571430951,2.01404898792,2.37990174887,0.00724612565831
a_subj(empathy).31,2.0467759462,0.177659077826,1.73147693213,1.92262405716,2.03678012945,2.15945549852,2.43827873257,0.00406932551392
a_subj(empathy).32,1.78150590236,0.161382551226,1.48645485479,1.66906880221,1.7734100592,1.88495797651,2.11585005893,0.00412562397819
a_subj(emprecip).0,2.24496487042,0.326043596379,1.70500148944,2.00674768392,2.21361764591,2.4528597262,2.97001770295,0.0104672114638
a_subj(emprecip).1,1.66662375186,0.195938663107,1.32237742101,1.52905011978,1.65378068608,1.79563069599,2.07701421153,0.00587588713508
a_subj(emprecip).2,1.84529023131,0.141772234378,1.58435394944,1.74894410603,1.84216612534,1.93662962432,2.14086916771,0.00398632588339
a_subj(emprecip).3,2.08583593301,0.175047265269,1.77470651827,1.96212727992,2.07333973153,2.19021364222,2.47260990111,0.0041340048144
a_subj(emprecip).4,2.55392402079,0.334353924514,2.00039014767,2.31582018558,2.51575573399,2.75971457262,3.27986145674,0.00958577540703
a_subj(emprecip).5,2.53148436608,0.229694714301,2.12203123215,2.3721224368,2.51934208765,2.66932015695,3.04716131693,0.0064972263425
a_subj(emprecip).6,1.712568619,0.138668878017,1.46032407359,1.61418227318,1.7072630024,1.80092963577,2.00645440386,0.00334906047119
a_subj(emprecip).7,1.75782393705,0.142371300109,1.50088634717,1.65655100497,1.7523111315,1.84712499772,2.06211285768,0.00411607048864
a_subj(emprecip).8,1.70379402629,0.134979096546,1.45581139717,1.60591564333,1.69772415894,1.79382595764,1.97896406375,0.00374335180279
a_subj(emprecip).9,2.21715910225,0.191761507468,1.86436122949,2.08590027643,2.2066856889,2.34212236172,2.62752815871,0.00422590626645
a_subj(emprecip).10,2.08168797133,0.2077134942,1.71897801942,1.93535389959,2.06981966874,2.21409823544,2.53523590042,0.00508703348583
a_subj(emprecip).11,1.80483586935,0.148720077626,1.53335260942,1.70029860201,1.79631538584,1.90382164166,2.11293896926,0.00399429970608
a_subj(emprecip).12,2.13376188861,0.155479280925,1.83837853076,2.02720026605,2.12718735983,2.23499572953,2.45457292507,0.00360188593692
a_subj(emprecip).13,2.76603303467,0.32715770627,2.22683402558,2.53273681147,2.73624548932,2.96287462639,3.50142881331,0.00876647264814
a_subj(emprecip).14,2.62336852499,0.343813018109,2.04740943589,2.37433367326,2.59804943317,2.82561747187,3.3851438686,0.0114473073536
a_subj(emprecip).15,1.89631124517,0.169417302266,1.5965787145,1.77751162209,1.88644696057,2.00662438599,2.25854489292,0.00446181089361
a_subj(emprecip).16,2.0427494441,0.256369319476,1.63023921528,1.85830008817,2.01613722974,2.19747906256,2.61228488921,0.00630006005134
a_subj(emprecip).17,1.08995843032,0.128672008901,0.850229018822,1.00184646699,1.08724821237,1.17184270423,1.35285589146,0.00396673076918
a_subj(emprecip).18,2.14472082574,0.18782352043,1.81132283053,2.01261160813,2.13336655505,2.26448205662,2.53081943483,0.00409890836179
a_subj(emprecip).19,2.37725396231,0.180773117221,2.06116313013,2.24896867384,2.37157741481,2.49564835823,2.75551721982,0.00444936480125
a_subj(emprecip).20,2.15126390675,0.157222997425,1.87416163794,2.04266102107,2.14475449378,2.25405031706,2.4873660257,0.00370759924472
a_subj(emprecip).21,1.87567838354,0.176124662372,1.5602776947,1.75160171072,1.86285822735,1.98828333026,2.2524251238,0.00484762623114
a_subj(emprecip).22,2.19949243129,0.203125253843,1.82772170117,2.05949241031,2.18994599477,2.32205336814,2.63838445531,0.00629788456946
a_subj(emprecip).23,1.58623753202,0.161880475546,1.29338452908,1.47127119161,1.57753955458,1.69217957027,1.91809572157,0.00370841141203
a_subj(emprecip).24,2.27430601055,0.181202135256,1.94873340044,2.14458981364,2.26643587626,2.3917859637,2.6488469028,0.00437969070838
a_subj(emprecip).25,2.26652970138,0.176375407751,1.96431126776,2.14261510342,2.25018457807,2.3754005524,2.65694388569,0.00421779935026
a_subj(emprecip).26,1.93916775808,0.164522833763,1.64349345304,1.82612398258,1.93181147708,2.04469614062,2.28123564901,0.00429761800675
a_subj(emprecip).27,1.84351131303,0.310085810222,1.30718529546,1.62041492561,1.81842410427,2.03759670343,2.52688799743,0.0088274181059
a_subj(emprecip).28,2.21607265726,0.258721810535,1.75959601303,2.03421738342,2.19518306686,2.37907903986,2.78584939934,0.00725297864678
a_subj(emprecip).29,2.06239702857,0.285280821797,1.55827704301,1.86057895748,2.03800777061,2.23881513191,2.69257786691,0.00725870172118
a_subj(emprecip).30,2.06619484675,0.25696690382,1.63764035694,1.88249023697,2.03907291875,2.22279406589,2.63666634408,0.00758199093973
a_subj(emprecip).31,2.51546186258,0.210021654439,2.12583233968,2.37156592517,2.51010799529,2.64963322913,2.96174016615,0.00524064528359
a_subj(emprecip).32,2.23730750987,0.17244928111,1.91868152784,2.12333518382,2.23023349002,2.34098784569,2.61408913214,0.00428106911493
a_subj(reciprocity).0,1.59662949654,0.281392597876,1.12447300893,1.3978977027,1.56576347425,1.7600344894,2.22785710362,0.00950904701809
a_subj(reciprocity).1,2.09088046813,0.155722185795,1.81711605598,1.97779907578,2.08039928793,2.19357333565,2.41631983189,0.00354798386757
a_subj(reciprocity).2,1.94665692864,0.155177696714,1.66592393251,1.83964657604,1.93818807049,2.03985123014,2.27498039456,0.00393535323569
a_subj(reciprocity).3,1.90947777322,0.152563413686,1.63329365991,1.801499043,1.90340489641,2.00717682933,2.22913051285,0.00381491264749
a_subj(reciprocity).4,1.98571740883,0.245838626245,1.57136626123,1.81021969057,1.96379641492,2.14534305454,2.53456781883,0.00568487839619
a_subj(reciprocity).5,1.69584249765,0.179000712925,1.38283528066,1.57392773837,1.68245678178,1.81149507943,2.09098085006,0.00429874361692
a_subj(reciprocity).6,1.70557062613,0.151278665271,1.43549169664,1.5996640423,1.69561723185,1.80524862282,2.01874725664,0.00389840998111
a_subj(reciprocity).7,1.73600690327,0.134896613012,1.49259625247,1.6411428447,1.72773909805,1.82557620731,2.0240567512,0.00374484529362
a_subj(reciprocity).8,1.61713786786,0.127446274273,1.37724535058,1.52832218563,1.61362899826,1.70311565394,1.87868994472,0.00329159563463
a_subj(reciprocity).9,2.29379437178,0.212660926692,1.91412403126,2.14109046178,2.28189973727,2.42908494733,2.75601181318,0.00538131702807
a_subj(reciprocity).10,2.21392060439,0.246356589902,1.77923902629,2.0445409008,2.20121905034,2.36337968935,2.75885457719,0.00660319633171
a_subj(reciprocity).11,1.52653216055,0.130889991911,1.29338939391,1.4348366711,1.51883920226,1.60670601125,1.8131295187,0.00418146470543
a_subj(reciprocity).12,2.08887117789,0.153854192246,1.80961909233,1.98186990183,2.08326647016,2.18452436976,2.41170681286,0.0036836339636
a_subj(reciprocity).13,1.61609918242,0.27600364872,1.16869631386,1.41851659629,1.58680259288,1.78093324195,2.25371937342,0.00937040961706
a_subj(reciprocity).14,2.40806727489,0.179778702828,2.08954926337,2.28227762499,2.39832364677,2.52619153961,2.78569768348,0.00418974409915
a_subj(reciprocity).15,1.62047585632,0.167534107947,1.32414143879,1.49976412962,1.61143517536,1.73097263431,1.98803532276,0.00493200694908
a_subj(reciprocity).16,2.36758228069,0.270585789029,1.89618151871,2.17833882165,2.34620689871,2.53150878026,2.96376797342,0.00697707187513
a_subj(reciprocity).17,1.20561871412,0.120456782772,0.98408929008,1.12460589692,1.19922920771,1.28464524991,1.45253900427,0.0036713054795
a_subj(reciprocity).18,2.02813129457,0.16312940735,1.73700180274,1.91259328114,2.01954013704,2.13588390201,2.37127461853,0.00414154076512
a_subj(reciprocity).19,2.11836246943,0.151194775608,1.84342755356,2.01321802773,2.10957793162,2.21568431825,2.4272728212,0.00388223192475
a_subj(reciprocity).20,1.99859978028,0.146419411814,1.73662774975,1.89224187172,1.99206126286,2.09631252543,2.3097474181,0.00352814088917
a_subj(reciprocity).21,1.84331969658,0.156221799258,1.56695999799,1.73302062619,1.83530199978,1.94235740288,2.17857844917,0.00370865383836
a_subj(reciprocity).22,2.44974405621,0.229886953726,2.02567372899,2.2917296735,2.43577182611,2.59548154821,2.92582939077,0.00842179207808
a_subj(reciprocity).23,1.53509549383,0.144646621711,1.26979799495,1.43669635078,1.52863731126,1.6287497677,1.82926788713,0.0037603130837
a_subj(reciprocity).24,2.32174989037,0.190268317719,1.98619876492,2.18831468506,2.30898166366,2.44385057972,2.72266964461,0.00462429342133
a_subj(reciprocity).25,2.28785491284,0.178880800463,1.95433972119,2.16502578016,2.28374226861,2.40267073625,2.65876203887,0.004422523797
a_subj(reciprocity).26,2.10600207999,0.1563954411,1.81074409429,1.99839771943,2.09863239151,2.20318706265,2.43539618315,0.00412457771506
a_subj(reciprocity).27,1.95256792481,0.172359557504,1.6429805693,1.83199627077,1.9434712151,2.05821924997,2.32026705354,0.00443055604234
a_subj(reciprocity).28,2.4486896809,0.242955303402,2.02180699359,2.27606201502,2.4402536375,2.60090900165,2.96965694929,0.00619010391292
a_subj(reciprocity).29,1.86839826078,0.20410989004,1.51575799695,1.72684388288,1.86212004951,1.99147095743,2.30879135596,0.00555001244772
a_subj(reciprocity).30,1.62932844251,0.13774752254,1.38236351415,1.53523255908,1.62368962366,1.71764424465,1.91988507755,0.00383020744744
a_subj(reciprocity).31,2.05833569426,0.170997339514,1.74767890027,1.93452129404,2.05214518575,2.16731334553,2.42397807568,0.00382643424206
a_subj(reciprocity).32,2.07079576357,0.157635941955,1.78742236424,1.96202822551,2.06316398823,2.16997282731,2.40819318887,0.00394534297519
v(control),0.351041665533,0.128227949321,0.101093308415,0.265280784401,0.351771859015,0.434863930737,0.608969335153,0.00324129090444
v(empathy),0.575508032328,0.133297712049,0.320967457218,0.484986551275,0.573309794602,0.666033628978,0.843694549987,0.00431511180872
v(emprecip),0.577541826379,0.136201760249,0.306318242111,0.48767468154,0.575792157401,0.670245730763,0.841768716235,0.00372734066048
v(reciprocity),0.466713043715,0.13546884708,0.21079476366,0.375798041447,0.462187282547,0.558213351017,0.735329362598,0.00422984941707
v_std,0.6730003595,0.063159125356,0.556977348067,0.629354902075,0.670868867743,0.714019042626,0.807731712814,0.00254425707491
v_subj(control).0,0.119251611761,0.25453593894,-0.368496417635,-0.0565277952389,0.117090010354,0.287238340983,0.618026515077,0.00703235750397
v_subj(control).1,0.524199131893,0.269254352705,-0.0017284644201,0.341180447248,0.529309679013,0.703442982929,1.06007711068,0.00765743092739
v_subj(control).2,0.0462940487414,0.233123995363,-0.412713694366,-0.115426468581,0.0458544556881,0.204231315411,0.501019168196,0.00612585259402
v_subj(control).3,0.0766664683298,0.208436606202,-0.328153477277,-0.067351035825,0.0729349266004,0.214023074239,0.505313669276,0.00503587562008
v_subj(control).4,1.03802184676,0.23842371217,0.566062318647,0.876950855849,1.03807281167,1.19599385158,1.51822397199,0.00651364573845
v_subj(control).5,0.753512009821,0.236888725353,0.308086018887,0.591813274498,0.754117684393,0.90609446685,1.22537763831,0.00651324730726
v_subj(control).6,0.126419068412,0.252684490815,-0.379184098631,-0.0461700203545,0.123044052261,0.297959215053,0.641194079114,0.006791275564
v_subj(control).7,0.00804071809448,0.274763601498,-0.524426710717,-0.174536616228,0.0118142984239,0.194969721083,0.556561125898,0.0066076187185
v_subj(control).8,-0.197165379575,0.261607254787,-0.697489130051,-0.372997200629,-0.199765797657,-0.0212246702748,0.296115030264,0.0073641996046
v_subj(control).9,0.226396357286,0.221897248985,-0.197455007571,0.0737797714056,0.225638560835,0.380019271769,0.659785909412,0.00702829975255
v_subj(control).10,0.515623871916,0.235202045381,0.080136037642,0.35613365604,0.509734390682,0.672285389838,0.996966838494,0.00723788300211
