"","subjectID","condition","decis","cond_type"
"1","1","control",0.552631578947368,"control_type"
"2","2","control",0.736842105263158,"control_type"
"3","3","control",0.5,"control_type"
"4","4","control",0.631578947368421,"control_type"
"5","5","control",0.947368421052632,"control_type"
"6","6","control",0.868421052631579,"control_type"
"7","7","control",0.578947368421053,"control_type"
"8","8","control",0.552631578947368,"control_type"
"9","9","control",0.605263157894737,"control_type"
"10","10","control",0.789473684210526,"control_type"
"11","11","control",0.842105263157895,"control_type"
"12","12","control",0.421052631578947,"control_type"
"14","13","control",0.5,"control_type"
"15","14","control",1,"control_type"
"16","15","control",0.947368421052632,"control_type"
"17","16","control",0.868421052631579,"control_type"
"18","17","control",0.736842105263158,"control_type"
"19","18","control",0.368421052631579,"control_type"
"20","19","control",0.842105263157895,"control_type"
"21","20","control",0.552631578947368,"control_type"
"22","21","control",0.5,"control_type"
"23","22","control",0.815789473684211,"control_type"
"24","23","control",0.394736842105263,"control_type"
"25","24","control",0.947368421052632,"control_type"
"26","25","control",0.5,"control_type"
"27","26","control",0.526315789473684,"control_type"
"28","27","control",0.657894736842105,"control_type"
"29","28","control",0.157894736842105,"control_type"
"30","29","control",0.868421052631579,"control_type"
"31","30","control",0.973684210526316,"control_type"
"32","31","control",0.868421052631579,"control_type"
"33","32","control",0.605263157894737,"control_type"
"34","33","control",0.684210526315789,"control_type"
"35","1","empathy",0.973684210526316,"motive_type"
"36","2","empathy",0.736842105263158,"motive_type"
"37","3","empathy",0.473684210526316,"motive_type"
"38","4","empathy",0.552631578947368,"motive_type"
"39","5","empathy",0.973684210526316,"motive_type"
"40","6","empathy",0.842105263157895,"motive_type"
"41","7","empathy",0.684210526315789,"motive_type"
"42","8","empathy",0.605263157894737,"motive_type"
"43","9","empathy",0.5,"motive_type"
"44","10","empathy",0.815789473684211,"motive_type"
"45","11","empathy",0.710526315789474,"motive_type"
"46","12","empathy",0.526315789473684,"motive_type"
"48","13","empathy",0.526315789473684,"motive_type"
"49","14","empathy",1,"motive_type"
"50","15","empathy",1,"motive_type"
"51","16","empathy",0.842105263157895,"motive_type"
"52","17","empathy",0.710526315789474,"motive_type"
"53","18","empathy",0.631578947368421,"motive_type"
"54","19","empathy",0.789473684210526,"motive_type"
"55","20","empathy",0.631578947368421,"motive_type"
"56","21","empathy",0.473684210526316,"motive_type"
"57","22","empathy",0.868421052631579,"motive_type"
"58","23","empathy",0.894736842105263,"motive_type"
"59","24","empathy",0.921052631578947,"motive_type"
"60","25","empathy",0.894736842105263,"motive_type"
"61","26","empathy",0.894736842105263,"motive_type"
"62","27","empathy",0.842105263157895,"motive_type"
"63","28","empathy",0.947368421052632,"motive_type"
"64","29","empathy",0.894736842105263,"motive_type"
"65","30","empathy",0.894736842105263,"motive_type"
"66","31","empathy",0.947368421052632,"motive_type"
"67","32","empathy",0.815789473684211,"motive_type"
"68","33","empathy",0.605263157894737,"motive_type"
"69","1","multi-motive",1,"motive_type"
"70","2","multi-motive",0.947368421052632,"motive_type"
"71","3","multi-motive",0.368421052631579,"motive_type"
"72","4","multi-motive",0.736842105263158,"motive_type"
"73","5","multi-motive",1,"motive_type"
"74","6","multi-motive",0.868421052631579,"motive_type"
"75","7","multi-motive",0.631578947368421,"motive_type"
"76","8","multi-motive",0.605263157894737,"motive_type"
"77","9","multi-motive",0.578947368421053,"motive_type"
"78","10","multi-motive",0.763157894736842,"motive_type"
"79","11","multi-motive",0.868421052631579,"motive_type"
"80","12","multi-motive",0.5,"motive_type"
"82","13","multi-motive",0.526315789473684,"motive_type"
"83","14","multi-motive",1,"motive_type"
"84","15","multi-motive",1,"motive_type"
"85","16","multi-motive",0.763157894736842,"motive_type"
"86","17","multi-motive",0.947368421052632,"motive_type"
"87","18","multi-motive",0.684210526315789,"motive_type"
"88","19","multi-motive",0.710526315789474,"motive_type"
"89","20","multi-motive",0.526315789473684,"motive_type"
"90","21","multi-motive",0.526315789473684,"motive_type"
"91","22","multi-motive",0.815789473684211,"motive_type"
"92","23","multi-motive",0.815789473684211,"motive_type"
"93","24","multi-motive",0.815789473684211,"motive_type"
"94","25","multi-motive",0.710526315789474,"motive_type"
"95","26","multi-motive",0.710526315789474,"motive_type"
"96","27","multi-motive",0.815789473684211,"motive_type"
"97","28","multi-motive",1,"motive_type"
"98","29","multi-motive",0.973684210526316,"motive_type"
"99","30","multi-motive",1,"motive_type"
"100","31","multi-motive",0.973684210526316,"motive_type"
"101","32","multi-motive",0.789473684210526,"motive_type"
"102","33","multi-motive",0.578947368421053,"motive_type"
"103","1","reciprocity",1,"motive_type"
"104","2","reciprocity",0.657894736842105,"motive_type"
"105","3","reciprocity",0.342105263157895,"motive_type"
"106","4","reciprocity",0.684210526315789,"motive_type"
"107","5","reciprocity",0.973684210526316,"motive_type"
"108","6","reciprocity",0.842105263157895,"motive_type"
"109","7","reciprocity",0.684210526315789,"motive_type"
"110","8","reciprocity",0.447368421052632,"motive_type"
"111","9","reciprocity",0.605263157894737,"motive_type"
"112","10","reciprocity",0.868421052631579,"motive_type"
"113","11","reciprocity",0.947368421052632,"motive_type"
"114","12","reciprocity",0.421052631578947,"motive_type"
"116","13","reciprocity",0.5,"motive_type"
"117","14","reciprocity",1,"motive_type"
"118","15","reciprocity",0.473684210526316,"motive_type"
"119","16","reciprocity",0.894736842105263,"motive_type"
"120","17","reciprocity",0.973684210526316,"motive_type"
"121","18","reciprocity",0.605263157894737,"motive_type"
"122","19","reciprocity",0.763157894736842,"motive_type"
"123","20","reciprocity",0.552631578947368,"motive_type"
"124","21","reciprocity",0.473684210526316,"motive_type"
"125","22","reciprocity",0.815789473684211,"motive_type"
"126","23","reciprocity",0.842105263157895,"motive_type"
"127","24","reciprocity",0.763157894736842,"motive_type"
"128","25","reciprocity",0.789473684210526,"motive_type"
"129","26","reciprocity",0.736842105263158,"motive_type"
"130","27","reciprocity",0.552631578947368,"motive_type"
"131","28","reciprocity",0.815789473684211,"motive_type"
"132","29","reciprocity",0.868421052631579,"motive_type"
"133","30","reciprocity",0.947368421052632,"motive_type"
"134","31","reciprocity",0.789473684210526,"motive_type"
"135","32","reciprocity",0.789473684210526,"motive_type"
"136","33","reciprocity",0.684210526315789,"motive_type"
